time,density,gyrate,hbnum,hbond,kinetic_energy,potential,pressure,rmsd,rmsf,sasa,temperature,total_energy
1340,1021.0057130000001,1.541064,118.0,118.0,80719.6390624,-475351.3625,-1.9191954000000009,4e-07,0.193325,85.432,298.34180299999997,-394631.73125
1350,1021.1490722000001,1.548664,123.0,123.0,81340.0265626,-475413.475,82.9810714,4e-07,0.193325,87.342,300.63478399999997,-394073.44375
1360,1021.1037964,1.556022,125.0,125.0,81534.5156248,-475033.89375,29.675060399999996,4e-07,0.193325,85.232,301.3536134,-393499.38125
1370,1021.8593504,1.548435,139.0,139.0,80903.95625,-474935.7375,-114.3142914,4e-07,0.193325,86.477,299.023047,-394031.78125
1380,1022.0685304000001,1.56355,117.0,117.0,80755.6203124,-475609.025,-9.884693799999999,4e-07,0.193325,87.323,298.4747986,-394853.4
1390,1020.6931517999999,1.54769,116.0,116.0,80906.7484374,-475208.45,-94.2035352,4e-07,0.193325,86.226,299.03337999999997,-394301.7
1400,1022.8498534,1.535137,123.0,123.0,81396.45,-476022.25625,48.8228418,4e-07,0.193325,85.089,300.8433288,-394625.80625
1410,1023.419458,1.54696,124.0,124.0,81125.9203124,-475657.15625,121.75151759999999,4e-07,0.193325,86.685,299.8434388,-394531.2375
1420,1021.045398,1.551492,126.0,126.0,81057.8921874,-475626.9625,-28.237830999999993,4e-07,0.193325,87.009,299.5920226,-394569.06875
1430,1023.4696164,1.547573,117.0,117.0,81173.7625,-475287.49375,70.49599500000001,4e-07,0.193325,85.816,300.0202818,-394113.73125
1440,1022.111792,1.550983,134.0,134.0,81268.5546874,-475049.00625,-2.2270616000000016,4e-07,0.193325,85.489,300.3706298,-393780.45
1450,1021.5075926000002,1.553015,124.0,124.0,80992.45625,-475553.1375,85.6677338,4e-07,0.193325,85.325,299.3501648,-394560.68125
1460,1021.9963621999999,1.542049,123.0,123.0,81489.74375,-475555.41875,8.946336799999997,4e-07,0.193325,86.308,301.188147,-394065.66875
1470,1022.3023681999999,1.544188,128.0,128.0,81300.0140624,-475301.2,64.7559952,4e-07,0.193325,86.26,300.48690799999997,-394001.19375
1480,1021.4955932,1.543746,123.0,123.0,81414.2156248,-475110.21875,73.6288048,4e-07,0.193325,85.484,300.9089722,-393696.0
1490,1019.9946166,1.548946,127.0,127.0,81514.0890626,-474754.66875,5.848959399999996,4e-07,0.193325,85.612,301.278131,-393240.58125
1500,1020.6459962000001,1.546859,116.0,116.0,81386.00625,-475460.9625,-22.917676000000004,4e-07,0.193325,86.749,300.8047302,-394074.95625
1510,1020.8679322,1.548156,127.0,127.0,81160.575,-475142.89375,29.731433,4e-07,0.193325,87.757,299.971515,-393982.31875
1520,1022.9354126000001,1.545924,128.0,128.0,81136.9671874,-475289.76875,57.678336,4e-07,0.193325,86.646,299.88426519999996,-394152.80625
1530,1022.3679565999998,1.540182,127.0,127.0,81207.7249998,-475387.96875,58.783082,4e-07,0.193325,84.684,300.145801,-394180.24375
1540,1020.9657836,1.550698,125.0,125.0,80884.1859376,-475986.39375,93.9537842,4e-07,0.193325,85.418,298.950006,-395102.20625
1550,1021.9611206,1.54348,133.0,133.0,81100.8328126,-474882.3875,-79.7350424,4e-07,0.193325,86.076,299.7507326,-393781.55625
1560,1021.4837402,1.556882,123.0,123.0,81524.50625,-475013.5125,30.8060332,4e-07,0.193325,86.353,301.3166322,-393489.0
1570,1018.6138183999999,1.556737,121.0,121.0,81623.4328126,-475429.65,-195.2111092,4e-07,0.193325,86.034,301.6822694,-393806.2125
1580,1021.6604982000001,1.552399,121.0,121.0,80892.6625,-475619.875,135.1598192,4e-07,0.193325,87.157,298.9813352,-394727.2125
1590,1021.0091066000001,1.547008,128.0,128.0,80920.1640626,-475631.65625,-47.1064588,4e-07,0.193325,87.3,299.08296540000003,-394711.5
1600,1022.4408202000001,1.554618,131.0,131.0,81284.2484372,-475409.53125,-13.396739400000001,4e-07,0.193325,87.326,300.4286378,-394125.2875
1610,1021.3582032,1.547377,130.0,130.0,81029.696875,-475234.7125,-15.942056400000004,4e-07,0.193325,85.537,299.4878052,-394205.0125
1620,1021.1557374,1.555494,128.0,128.0,81345.64375,-474994.2375,-137.24639059999998,4e-07,0.193325,87.177,300.6555542,-393648.59375
1630,1020.9310792,1.549591,122.0,122.0,80930.9,-475238.65625,-53.129998000000015,4e-07,0.193325,86.149,299.12261939999996,-394307.75
1640,1021.5097046000001,1.546477,121.0,121.0,81632.7546876,-475162.51875,-76.46576780000001,4e-07,0.193325,85.128,301.7167236,-393529.76875
1650,1022.3425904,1.562953,126.0,126.0,81045.9640628,-475627.23125,79.39508140000001,4e-07,0.193325,85.986,299.5479124,-394581.26875
1660,1021.260388,1.549119,124.0,124.0,81279.0515628,-474726.8875,-53.104476399999996,4e-07,0.193325,86.742,300.409418,-393447.83125
1670,1020.584314,1.548994,124.0,124.0,80712.1374998,-475232.825,-130.772918,4e-07,0.193325,85.941,298.31409279999997,-394520.69375
1680,1021.833972,1.549469,122.0,122.0,81269.7359376,-475761.325,80.203684,4e-07,0.193325,85.215,300.375,-394491.5875
1690,1022.4512208,1.542886,118.0,118.0,80979.9249998,-475515.2625,38.745249799999996,4e-07,0.193325,84.724,299.30383900000004,-394535.3375
1700,1022.3623535999999,1.541228,130.0,130.0,80702.3687502,-475084.34375,58.64323460000001,4e-07,0.193325,85.204,298.2780092,-394381.96875
1710,1022.6233396,1.546303,121.0,121.0,80891.0953124,-474729.36875,-28.55324,4e-07,0.193325,84.312,298.97551899999996,-393838.275
1720,1022.2859861999999,1.547401,121.0,121.0,81746.9296874,-475341.5625,119.3630048,4e-07,0.193325,85.399,302.1387208,-393594.63125
1730,1023.7218018,1.536676,119.0,119.0,81236.0921876,-475453.69375,68.75634960000001,4e-07,0.193325,84.479,300.2506346,-394217.6
1740,1023.180359,1.541313,120.0,120.0,81256.940625,-474652.1375,-85.35217579999998,4e-07,0.193325,83.705,300.3277098,-393395.2
1750,1023.0684938,1.539556,127.0,127.0,81341.4125,-475103.8,67.5688766,4e-07,0.193325,83.644,300.639923,-393762.38125
1760,1021.8689574,1.554237,119.0,119.0,80966.9468752,-474847.43125,30.2811996,4e-07,0.193325,87.461,299.25589,-393880.48125
1770,1021.7395508,1.550638,118.0,118.0,81093.9656248,-475747.93125,6.062496800000008,4e-07,0.193325,85.337,299.7253418,-394653.96875
1780,1022.3106688,1.549975,119.0,119.0,81543.55,-474814.35,32.5553452,4e-07,0.193325,85.252,301.3870298,-393270.79375
1790,1022.4052978,1.552097,130.0,130.0,81323.2359376,-475247.83125,-109.85963080000002,4e-07,0.193325,84.631,300.5727174,-393924.6
1800,1019.9678223999999,1.564906,122.0,122.0,81656.2703124,-475038.51875,-97.71274439999999,4e-07,0.193325,84.367,301.8036318,-393382.25625
1810,1023.3605344,1.551002,122.0,122.0,81170.00625020001,-475870.4,82.4213484,4e-07,0.193325,86.439,300.0063844,-394700.39375
1820,1020.1324462,1.551846,116.0,116.0,80765.3312498,-475639.60625,-53.64784779999999,4e-07,0.193325,84.649,298.5107056,-394874.275
